time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2017-04-22 15:06:25.297 UTC, ,125,3157213,696,11360, , ,3, , , , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,947,1,370,370,1, ,2,4, , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492873584819,3145728, , , , ,2,15,2,2,2, , ,3,3, , , , , , , ,38,1, , ,2048,1,955,2, , , , , , , , ,22100024,-1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-22 15:06:25.674 UTC, ,125,3158381,824,12528, , ,3, ,3, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492873584819,3145728, , , , ,1,7,1,2,1, , ,3,1, , , , , , , , , , , ,4096,2,92,1, , , , , , ,1,10,13157624,-1, , , , , , ,10003, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10000, , , , , , , , , , , , , , , , , , , , , , , 
2017-04-22 15:08:47.928 UTC, ,125,3156813,824,10880,80, ,3, ,14,3,0.21, , , , , , , ,3,3, ,2, ,2,1,5, ,9,3, , , , , , , , , , , , , ,1822,2, ,1148, , , , , , ,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492873727426,3145728, , , ,11, , , ,2, , , ,3, , , , ,11, ,2048,1, , , , ,98304,21, , , , , , , , , , ,22851224,-1, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-22 15:08:48.334 UTC, ,125,3157749,824,11896, , ,3, ,1, , , , , , , , , ,3,3, , , ,2,1,5, , , , , , , , , , , , , , , , ,1822,2, ,1148, , , , , , ,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492873727426,3145728, , , , ,1,7,1,2,1, , ,3,1, , , , , , , , , , , ,4096,2,154,1, , , , , , ,1,9,13884744,-1, , , , , , ,10002, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10000, , , , , , , , , , , , , , , , , , , , , , , 
2017-04-22 15:09:36.444 UTC, ,125,3157933,824,11944,136, ,3, ,14,3,0.21, , , , , , , ,3,3, ,2, ,2,1,5, ,11,5, , , , , , , , , , , , , ,2803,3, ,2086, , , , , , ,29, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492873775909,3145728, , , ,13, , , ,3, , , ,3, , , , ,13,1,2048,1, , , , ,104448,24, , , , , , , , , , ,22842344,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-22 15:09:36.803 UTC, ,125,3157797,824,11944, , ,3, , , , , , , , , , , ,3,3, , , ,2,1,5, , , , , , , , , , , , , , , , ,2803,3, ,2086, , , , , , ,29, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492873775909,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,1,8,13883272,-1, , , , , , ,10000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10000, , , , , , , , , , , , , , , , , , , , , , , 
2017-04-22 15:10:10.206 UTC, ,125,3157933,824,11944,136, ,3, ,14,3,0.21, , , , , , , ,3,3, ,2, ,2,1,5, ,11,5, , , , , , , , , , , , , ,2803,3, ,2086, , , , , , ,29, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492873809684,3145728, , , ,13, , , ,3, , , ,3, , , , ,13,1,2048,1, , , , ,104448,24, , , , , , , , , , ,22851920,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-22 15:10:10.587 UTC, ,125,3157797,824,11944, , ,3, , , , , , , , , , , ,3,3, , , ,2,1,5, , , , , , , , , , , , , , , , ,2803,3, ,2086, , , , , , ,29, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492873809684,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,1,9,14210800,-1, , , , , , ,10000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10000, , , , , , , , , , , , , , , , , , , , , , , 
2017-04-22 15:15:12.473 UTC, ,125,3156733,696,10800,80, ,3, ,13,3,0.23, , , , , , , ,3,3, ,2, ,2,1,5, ,10,4, , , , , , , , , , , , , ,2803,3, ,2086, , , , , , ,29, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492874111987,3145728, , , ,12, , , ,3, , , ,3, , , , ,12,1,2048,1, , , , ,98304,21, , , , , , , , , , ,22850184,-1, , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-22 15:15:12.793 UTC, ,125,3157797,824,11944, , ,3, ,1, , , , , , , , , ,3,3, , , ,2,1,5, ,1,1, , , , , , , , , , , , , ,2803,3, ,2086, , , , , , ,29, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492874111987,3145728, , , ,1, , , , , , , ,3, , , , ,1,1, , , , , , ,6144,3, , , , , , , , ,1,8,14490712,-1, , , , , , ,10001, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10000, , , , , , , , , , , , , , , , , , , , , , , 
